cluster_id,name,cg_name,ra_deg,dec_deg,radius_deg,dist_pc,age_gyr,n_members
berkeley_24,Cl Berkeley 24,Berkeley_24,99.452,-0.874,0.25,4900.0,1.4125,218
fsr_0442,[FSR2007] 0442,FSR_0442,352.489,63.447,0.38,1712.0,0.7413,218
ngc_6755,NGC 6755,NGC_6755,286.942,4.224,0.25,2647.0,0.1445,217
ubc_399,UBC 399,UBC_399,351.341,61.335,0.415,2954.0,0.038,216
lp_2139,[LP2019] 2139,LP_2139,67.683,46.302,0.495,1101.0,0.2692,215
ngc_1193,NGC 1193,NGC_1193,46.486,44.383,0.25,4988.0,5.1286,215
ngc_2262,NGC 2262,NGC_2262,99.905,1.147,0.25,3552.0,0.6457,215
ngc_2547,NGC 2547,NGC_2547,122.525,-49.198,0.707,396.0,0.0324,215
lp_1994,[LP2019] 1994,LP_1994,191.005,-58.096,0.352,1905.0,0.7244,214
lp_321,[LP2019] 321,LP_321,296.389,21.153,0.25,2068.0,1.1749,212
ngc_6834,NGC 6834,NGC_6834,298.052,29.399,0.25,3283.0,0.0191,211
platais_8,Cl Platais 8,Platais_8,136.718,-58.685,2.0,134.0,0.0302,211
trumpler_3,Cl Trumpler 3,Trumpler_3,48.004,63.218,0.69,693.0,0.0468,211
ngc_4337,NGC 4337,NGC_4337,186.022,-58.125,0.25,2450.0,1.4454,210
ngc_2669,NGC 2669,NGC_2669,131.611,-52.931,0.295,1096.0,0.1349,209
lp_2219,[LP2019] 2219,LP_2219,130.848,-45.788,0.943,1457.0,0.1259,208
ngc_6204,NGC 6204,NGC_6204,251.538,-47.027,0.25,1235.0,0.0933,208
lp_866,[LP2019] 866,LP_866,261.768,-39.405,0.25,2464.0,1.9055,205
ubc_259,UBC 259,UBC_259,157.621,-60.078,0.302,2377.0,0.1023,205
ufmg_3,[FSC2019] UFMG 3,UFMG_3,238.115,-55.419,0.273,1949.0,0.195,205
bh_164,Cl VDBH 164,BH_164,222.311,-66.465,1.598,438.0,0.0324,204
ngc_2353,NGC 2353,NGC_2353,108.641,-10.257,0.29,1220.0,0.1023,204
upk_166,UPK 166,UPK_166,339.203,46.927,1.917,658.0,0.0269,204
ubc_252,UBC 252,UBC_252,139.157,-54.145,0.25,4503.0,0.9772,203
fsr_0342,[FSR2007] 0342,FSR_0342,331.931,53.104,0.258,2751.0,1.5136,202
king_10,Cl King 10,King_10,343.748,59.17,0.25,3931.0,0.0174,201
berkeley_68,Cl Berkeley 68,Berkeley_68,71.053,42.134,0.25,3383.0,2.0893,200
fsr_1361,[FSR2007] 1361,FSR_1361,117.656,-36.401,0.273,2721.0,0.2884,199
pismis_2,Cl Pismis 2,Pismis_2,124.477,-41.674,0.25,4066.0,1.8621,199
lp_1624,[LP2019] 1624,LP_1624,266.582,-29.175,0.312,1866.0,0.2884,198
ruprecht_18,Cl Ruprecht 18,Ruprecht_18,111.16,-26.213,0.25,2655.0,0.1288,198
berkeley_43,Cl Berkeley 43,Berkeley_43,288.872,11.265,0.25,500.0,0.1,197
haffner_13,Cl Haffner 13,Haffner_13,115.209,-30.073,0.818,562.0,0.0204,197
czernik_37,Cl Czernik 37,Czernik_37,268.32,-27.373,0.25,2314.0,0.3802,196
gulliver_58,Cl Gulliver 58,Gulliver_58,191.515,-61.965,0.25,2478.0,0.6607,196
ngc_2309,NGC 2309,NGC_2309,104.02,-7.18,0.25,2431.0,0.1175,196
collinder_277,Cl Collinder 277,Collinder_277,207.058,-66.066,0.352,1752.0,0.9772,195
ubc_224,UBC 224,UBC_224,111.415,-20.903,0.527,2592.0,0.0148,195
upk_220,UPK 220,UPK_220,350.955,66.505,0.505,990.0,0.1096,195
